time_period,total_load,cell_barring,cell_radius
473,53.019206508683,1,100
474,52.97887727123056,1,100
475,52.92949428656915,1,100
476,52.89681729815504,1,100
477,52.913816928784655,1,100
478,52.95121308579658,1,100
479,53.02230964616245,1,100
480,53.10069486765522,1,100
481,53.126705890232586,1,100
482,53.08916262558362,1,100
483,53.130816320637436,1,100
484,53.17177614563059,1,100
485,53.220257614887295,1,100
486,53.09613423275477,1,100
487,53.0583423536895,1,100
488,52.96487141036274,1,100
489,52.99566688803281,1,100
490,52.96876617693439,1,100
491,52.97498509395111,1,100
492,52.982582911276985,1,100
493,53.00248895415733,1,100
494,53.03945984766015,1,100
495,53.01463592426175,1,100
496,53.02212142366345,1,100
497,53.092483816018905,1,100
498,53.16520402704194,1,100
499,53.05928546900327,1,100
500,53.12283867846332,1,100
501,53.13886906552362,1,100
502,53.173591257374355,1,100
503,53.132770863189485,1,100
504,53.1556675394989,1,100
505,53.294071565188005,1,100
506,53.163929639900104,1,100
507,53.10890063362663,1,100
508,53.07209702481861,1,100
509,53.13089773819009,1,100
510,53.07509946092076,1,100
511,53.085987928976124,1,100
512,53.12277019952473,1,100
513,53.11511818869118,1,100
514,53.06927450642458,1,100
515,53.07105845092905,1,100
516,53.105678774197436,1,100
517,53.02124762778748,1,100
518,53.02219073493481,1,100
519,53.12241703472741,1,100
520,52.99733544828781,1,100
521,52.942851730997944,1,100
522,52.807049619211966,1,100
523,52.755535667910706,1,100
524,52.92066157502926,1,100
525,53.019819490485055,1,100
526,52.97925700135076,1,100
527,52.89695357650994,1,100
528,53.00113209566306,1,100
529,53.06996569360174,1,100
530,52.99531052191261,1,100
531,52.94650473400808,1,100
532,52.90124517438445,1,100
533,52.89600895706646,1,100
534,52.92727364557581,1,100
535,52.920465150443206,1,100
536,52.97599661773552,1,100
537,53.0385869532635,1,100
538,53.13831059749508,1,100
539,53.238791867771546,1,100
540,53.17907553131295,1,100
541,53.19129223041337,1,100
542,53.257520622228014,1,100
543,53.25634403866901,1,100
544,53.18212763983571,1,100
545,53.19390612342541,1,100
546,53.27753519372258,1,100
547,53.269847605389195,1,100
548,53.169228535689086,1,100
549,53.0409682245266,1,100
550,52.97030030684594,1,100
551,52.905727750520136,1,100
552,52.802878883304025,1,100
553,52.78280688796731,1,100
554,52.83816419244376,1,100
555,52.85868738773826,1,100
556,52.881485921968576,1,100
557,52.88208347972239,1,100
558,52.914887681467306,1,100
559,52.959843697059135,1,100
560,52.91327801357428,1,100
561,52.87556256472512,1,100
562,52.81976810957623,1,100
563,52.952635687941715,1,100
564,53.006294783500316,1,100
565,53.027369755700455,1,100
566,53.20211457943006,1,100
567,53.1827542476772,1,100
568,53.14310248303678,1,100
569,53.1011899634847,1,100
570,53.05601914646821,1,100
571,53.129390633680856,1,100
572,53.095438666883645,1,100
573,53.04312056664779,1,100
574,53.05170152009558,1,100
575,53.077267404378595,1,100
576,53.087611405079514,1,100
577,53.15523587148513,1,100
578,53.083986534889775,1,100
579,53.09969134164381,1,100
580,53.05103679576078,1,100
581,53.044702588289844,1,100
582,53.013788532262325,1,100
583,53.109793881144334,1,100
584,53.16338292961501,1,100
585,53.11546099466914,1,100
586,53.10570442531007,1,100
587,53.120883421702,1,100
588,53.14537891899988,1,100
589,53.12148213924561,1,100
590,53.07758436647685,1,100
591,53.07142228579625,1,100
592,53.11372951491123,1,100
593,53.06283120873726,1,100
594,53.00763388241403,1,100
595,53.04943041762699,1,100
596,52.99239609608791,1,100
597,52.96829298250296,1,100
598,52.90449643883331,1,100
599,52.843019808727426,1,100
600,52.81028523382521,1,100
601,52.913697177335266,1,100
602,52.946706630438676,1,100
603,53.01401732728315,1,100
604,52.95281041617352,1,100
605,52.90985205569687,1,100
606,52.894589860751594,1,100
607,52.977819977791015,1,100
608,52.97345741201829,1,100
609,52.91280266395419,1,100
610,52.93428723369615,1,100
611,52.921554608511386,1,100
612,52.95373928463495,1,100
613,52.91620888503419,1,100
